Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-13 00:00:00-04:00,205.49018025005506,206.75486016607707,197.84466181891068,198.39077758789062,38135600,0.0,0.0
2020-07-14 00:00:00-04:00,197.49022070261285,200.0962151171253,193.56206327242361,199.61717224121094,37591800,0.0,0.0
2020-07-15 00:00:00-04:00,200.77643902573882,202.47225482563013,196.43631192946955,199.3201446533203,32179400,0.0,0.0
2020-07-16 00:00:00-04:00,196.79074987916397,197.07817844428462,193.83026928263666,195.37278747558594,29940700,0.0,0.0
2020-07-17 00:00:00-04:00,195.899771724378,196.4458729364666,192.94886620272644,194.3764190673828,31635300,0.0,0.0
2020-07-20 00:00:00-04:00,196.40754068277164,203.40156822605204,194.50094514688112,202.7309112548828,36884800,0.0,0.0
2020-07-21 00:00:00-04:00,204.7045699499503,204.97283274467122,199.3105434190192,200.0003662109375,37990400,0.0,0.0
2020-07-22 00:00:00-04:00,200.43151248900887,203.40158381365865,199.65546546152484,202.8746337890625,49605700,0.0,0.0
2020-07-23 00:00:00-04:00,198.5057661792105,202.0794215246209,193.6770063646899,194.0506591796875,67457000,0.0,0.0
2020-07-24 00:00:00-04:00,192.01955073187074,194.3572823797303,189.2315175967975,192.8626708984375,39827000,0.0,0.0
2020-07-27 00:00:00-04:00,193.0254921260204,195.42070594143314,192.4410593702907,195.3057403564453,30160900,0.0,0.0
2020-07-28 00:00:00-04:00,195.07581233352278,196.1201221435379,193.28419691457697,193.55245971679688,23251400,0.0,0.0
2020-07-29 00:00:00-04:00,194.0123618550907,196.07224034314484,193.5428945807661,195.50697326660156,19632600,0.0,0.0
2020-07-30 00:00:00-04:00,192.57522553299125,195.8902084845765,191.20517000040866,195.35366821289062,25079600,0.0,0.0
2020-07-31 00:00:00-04:00,195.83268148482023,196.50335306832557,190.66860093102648,196.4171142578125,51044000,0.0,0.0
2020-08-03 00:00:00-04:00,202.6542875887838,208.5177672855925,201.6195532977186,207.4638671875,78983000,0.0,0.0
2020-08-04 00:00:00-04:00,205.19320244984735,205.76805968906118,201.49499124627997,204.35008239746094,49280100,0.0,0.0
2020-08-05 00:00:00-04:00,205.89261028578034,205.9884247031007,202.70219778204324,204.0147705078125,28806400,0.0,0.0
2020-08-06 00:00:00-04:00,203.4398971396391,207.30098102055055,202.68301593193615,207.28182983398438,32656800,0.0,0.0
2020-08-07 00:00:00-04:00,205.8447085853178,206.6590726195856,202.08899995716098,203.57403564453125,27820400,0.0,0.0
2020-08-10 00:00:00-04:00,202.79801389531178,202.9992183401805,197.70100518297247,199.5213623046875,36716500,0.0,0.0
2020-08-11 00:00:00-04:00,198.47704696487673,198.94649962485545,194.62553816646204,194.85548400878906,36446500,0.0,0.0
2020-08-12 00:00:00-04:00,196.68539329251882,201.46624586718303,196.16803348282602,200.42193603515625,28013100,0.0,0.0
2020-08-13 00:00:00-04:00,200.66147281697482,202.4914200259943,199.4255340681538,199.95248413085938,22588900,0.0,0.0
2020-08-14 00:00:00-04:00,200.00994208877663,200.80515488112698,198.81233510377172,200.14407348632812,17958900,0.0,0.0
2020-08-17 00:00:00-04:00,200.81474113004822,202.33809367629547,200.16323534106616,201.4662322998047,20184800,0.0,0.0
2020-08-18 00:00:00-04:00,201.70573504627237,203.4590332299477,200.44106981397044,202.62550354003906,21336200,0.0,0.0
2020-08-19 00:00:00-04:00,203.11536754091307,203.70121318351363,200.96406238596384,201.396240234375,27627600,0.51,0.0
2020-08-20 00:00:00-04:00,201.242545019471,206.48634420878187,200.63750197596372,206.08297729492188,26981500,0.0,0.0
2020-08-21 00:00:00-04:00,205.39149643815162,207.6868557841031,204.42149605209858,204.5847625732422,36249300,0.0,0.0
2020-08-24 00:00:00-04:00,206.28468937804115,206.98579322023295,204.01814061852878,205.22825622558594,25460100,0.0,0.0
2020-08-25 00:00:00-04:00,204.66159869274037,208.032603228624,204.66159869274037,207.8981475830078,23043700,0.0,0.0
2020-08-26 00:00:00-04:00,209.25231937365362,213.29560217508455,208.7529064047803,212.392822265625,39600800,0.0,0.0
2020-08-27 00:00:00-04:00,214.06391898104908,221.99683117871206,210.71211201268858,217.60780334472656,57602200,0.0,0.0
2020-08-28 00:00:00-04:00,219.1444467643606,221.5070413285257,217.60781287992597,219.84555053710938,26292900,0.0,0.0
2020-08-31 00:00:00-04:00,218.0111720750018,219.64385193055338,215.42768932110053,216.59938049316406,28774200,0.0,0.0
2020-09-01 00:00:00-04:00,216.5801610879219,218.44334254996568,215.54292559396254,218.27047729492188,25725500,0.0,0.0
2020-09-02 00:00:00-04:00,218.9427344651928,223.63909728560728,218.34729021557558,222.4770050048828,34080800,0.0,0.0
2020-09-03 00:00:00-04:00,220.19129093318827,220.22970055127237,206.44794563306343,208.69528198242188,58400300,0.0,0.0
2020-09-04 00:00:00-04:00,206.58239950539593,209.71330358948268,197.0648156953769,205.76605224609375,59664100,0.0,0.0
2020-09-08 00:00:00-04:00,198.32293318553906,201.71314970879104,194.19320331662198,194.63499450683594,52924300,0.0,0.0
2020-09-09 00:00:00-04:00,199.37936369275369,206.33266139810954,198.5149935221353,202.92323303222656,45679000,0.0,0.0
2020-09-10 00:00:00-04:00,204.94969453481173,206.23664380972983,196.02757016424147,197.2376708984375,35461500,0.0,0.0
2020-09-11 00:00:00-04:00,198.99521605660559,200.36859801651732,193.27123051236325,195.95074462890625,33620100,0.0,0.0
2020-09-14 00:00:00-04:00,196.15245478035206,200.91603915871082,195.9507639688681,197.276123046875,30375800,0.0,0.0
2020-09-15 00:00:00-04:00,200.16690436591406,201.47305115845535,198.7359006730098,200.5126495361328,21823900,0.0,0.0
2020-09-16 00:00:00-04:00,202.2798197388433,202.30863062009502,196.53662115443242,196.93038940429688,26328100,0.0,0.0
2020-09-17 00:00:00-04:00,192.12837248673094,196.23889079299036,192.04193984656638,194.8751220703125,34011300,0.0,0.0
2020-09-18 00:00:00-04:00,194.7694820632117,195.5858147757098,188.47884753310404,192.4549102783203,55225300,0.0,0.0
2020-09-21 00:00:00-04:00,189.38160480843675,194.68302605051372,188.603681812148,194.51974487304688,39839700,0.0,0.0
2020-09-22 00:00:00-04:00,196.93996392585635,199.8595932065508,194.07797105514516,199.20651245117188,33517100,0.0,0.0
2020-09-23 00:00:00-04:00,199.6674908934274,199.85958294103887,192.1091348351066,192.64695739746094,30803800,0.0,0.0
2020-09-24 00:00:00-04:00,191.9362594683191,197.42975761656191,191.31198965559403,195.1439971923828,31202500,0.0,0.0
2020-09-25 00:00:00-04:00,195.4897936214815,200.7623902405492,194.51977840321837,199.59071350097656,29437300,0.0,0.0
